"source_row_id","fips_state","state_name","aian_wh_2013","anhpi_wh_2013","bl_wh_2013","hp_wh_2013","aian_wh_2014","anhpi_wh_2014","bl_wh_2014","hp_wh_2014","aian_wh_2015","anhpi_wh_2015","bl_wh_2015","hp_wh_2015","aian_wh_2016","anhpi_wh_2016","bl_wh_2016","hp_wh_2016","aian_wh_2017","anhpi_wh_2017","bl_wh_2017","hp_wh_2017","aian_wh_2018","anhpi_wh_2018","bl_wh_2018","hp_wh_2018","aian_wh_2019","anhpi_wh_2019","bl_wh_2019","hp_wh_2019","aian_wh_2020","anhpi_wh_2020","bl_wh_2020","hp_wh_2020","aian_wh_2021","anhpi_wh_2021","bl_wh_2021","hp_wh_2021","aian_wh_2022","anhpi_wh_2022","bl_wh_2022","hp_wh_2022"
"1","00","United States",0.04500000000000001,-0.044629999999999996,0.021000000000000005,-0.02099999999999999,0.05299999999999999,-0.0392,0.021000000000000005,-0.02099999999999999,0.07100000000000001,-0.036329999999999994,0.017,-0.01999999999999999,0.047000000000000014,-0.0411,0.022000000000000006,-0.022999999999999993,0.055999999999999994,-0.04532,0.023000000000000007,-0.025999999999999995,0.07899999999999999,-0.04234,0.025999999999999995,-0.021000000000000005,0.04400000000000001,-0.049,0.015,-0.018000000000000002,0.04200000000000001,-0.042,0.021000000000000005,-0.013999999999999999,0.04100000000000001,-0.043000000000000003,0.02099999999999999,-0.012999999999999998,0.043999999999999984,-0.045000000000000005,0.01999999999999999,-0.010000000000000009
"2","01","Alabama","","",0.019000000000000003,"","","",0.010999999999999996,"","","",0.015,"","","",0.023000000000000007,"","","",0.009000000000000008,"",0.106,"",0.0030000000000000027,"",0.034,"",0.020000000000000004,"","","",0.02099999999999999,"","","",0.009999999999999995,0.03900000000000001,"","",0.024000000000000007,""
"3","02","Alaska",0.017,"","",0.103,0.022000000000000006,"","","",0.010999999999999996,"","","","","","","",0.024000000000000007,"","","",0.06799999999999999,"","","",-0.0020000000000000018,"","","",-0.019000000000000003,"","","",0.02800000000000001,"","",0.047000000000000014,0.013999999999999999,0.0010000000000000009,0.026999999999999996,0.0010000000000000009
"4","04","Arizona",0.021999999999999992,"","",-0.046000000000000006,0.0050000000000000044,"",0.018000000000000002,-0.025999999999999995,0.05199999999999999,"",-0.0050000000000000044,-0.02800000000000001,"","","",-0.03599999999999999,0.0030000000000000027,"",0.02700000000000001,-0.025999999999999995,0.032000000000000015,"",0.023000000000000007,-0.035,-0.01899999999999999,"",0.029000000000000012,-0.02099999999999999,0.031000000000000014,"",-0.021999999999999992,-0.023999999999999994,-0.03399999999999999,-0.025999999999999995,0.018000000000000002,-0.028999999999999998,-0.03399999999999999,"",-0.0059999999999999915,-0.015
"5","05","Arkansas","","",0.015,"","","",-0.001999999999999988,"","","",0.0010000000000000009,"",-0.007999999999999993,"",0.0020000000000000018,"","","",0.05499999999999999,"","","",0.031,"","","",0.015,"","","",0.037000000000000005,"","","",0.043,"",0.05099999999999999,"",0.028999999999999998,-0.017
"6","06","California",0.06500000000000002,-0.04901,0.015,-0.03599999999999999,"",-0.03961,0.068,-0.032,0.179,-0.011970000000000008,0.03899999999999999,-0.020000000000000004,"",-0.05016,0.009999999999999995,-0.03900000000000001,"","",0.04100000000000001,-0.039,0.094,-0.03385,0.066,-0.03,"",-0.053000000000000005,0.007999999999999993,-0.034,"",-0.052,0.019000000000000003,-0.033,"",-0.04599999999999999,0.045,-0.021999999999999992,0.06100000000000001,-0.054,-0.0030000000000000027,-0.021999999999999992
"7","08","Colorado","","",-0.011999999999999997,-0.008999999999999994,0.07900000000000001,"",-0.017999999999999988,-0.016,"","",0.009000000000000008,-0.020000000000000004,"","","",-0.02099999999999999,"","","",-0.021000000000000005,"","",0.027999999999999997,-0.023000000000000007,"","",0.025999999999999995,-0.013999999999999999,0.01999999999999999,"",0.04899999999999999,-0.021000000000000005,"","",-0.0049999999999999906,-0.006999999999999992,"",-0.056,0.030999999999999986,-0.015
"8","09","Connecticut","","",-0.0030000000000000027,0.0030000000000000027,"","",0.032,0.01200000000000001,"",-0.05568000000000001,0.04000000000000001,0.031,"","",0.03900000000000001,0.04100000000000001,"","",0.007999999999999993,0.044999999999999984,"","",0.062,0.03900000000000001,"","",0.025999999999999995,0.02099999999999999,"","",0.0030000000000000027,0.034000000000000016,"",-0.024000000000000007,0.04300000000000001,0.05399999999999999,"",-0.028999999999999998,0.030999999999999986,0.02500000000000001
"9","10","Delaware","","",0.03900000000000001,-0.021000000000000005,"","",0.03,-0.028000000000000004,"","",-0.012999999999999998,-0.009000000000000008,"","",0.034,"","","",0.04799999999999999,"","","",0.03,-0.022000000000000006,"","",0.008999999999999994,-0.021000000000000005,"","",0.068,-0.033,"","",0.04100000000000001,-0.010999999999999996,"","",0.032,-0.0040000000000000036
"10","11","District of Columbia","","",0.06299999999999999,"","","",0.078,"","","",0.099,"","","",0.07100000000000001,"","","",0.08099999999999999,"","","",0.057999999999999996,0.018000000000000002,"","",0.055999999999999994,0.007000000000000006,"","",0.05700000000000001,-0.0030000000000000027,"","",0.05500000000000001,0.017,"","",0.04000000000000001,0.020000000000000004
