"source_row_id","fips_county","county_name","max_dist_alc_2009","mean_dist_alc_2009","median_dist_alc_2009","min_dist_alc_2009"
"1","1001","Autauga County",22.45,14.15,12.23,9.34
"2","1003","Baldwin County",22.37,12.39,11.7,0.95
"3","1005","Barbour County",38.2,33.21,35.53,23.3
"4","1007","Bibb County",34.53,28.38,27.16,23.45
"5","1009","Blount County",44.64,33.65,34.93,23.55
"6","1011","Bullock County",11.74,8.26,10.2,0.9
"7","1013","Butler County",32.46,25.37,24.96,18.42
"8","1015","Calhoun County",26.96,16.03,15.46,7.39
"9","1017","Chambers County",40.41,29.48,28.06,22.54
"10","1019","Cherokee County",32.88,26.82,27.83,21.42
"11","1021","Chilton County",37.19,31.49,32.13,25.33
"12","1023","Choctaw County",46.79,32.82,32.76,18.97
"13","1025","Clarke County",52.01,41.62,42.97,30.73
"14","1027","Clay County",40.05,30.84,30.68,21.95
"15","1029","Cleburne County",13.34,8.41,9.51,1.28
"16","1031","Coffee County",18.53,7.86,5.78,0.65
"17","1033","Colbert County",49.95,36.14,36.08,26.03
"18","1035","Conecuh County",51.33,46.07,44.79,40.81
"19","1037","Coosa County",35.03,29.39,32.58,20.57
"20","1039","Covington County",41.12,28.3,28.32,21.31
"21","1041","Crenshaw County",18.92,10.07,10.05,2.08
"22","1043","Cullman County",36.37,30.94,31.17,22.72
"23","1045","Dale County",20.28,12.95,13.33,4.99
"24","1047","Dallas County",16.85,5.5,2.96,0.69
"25","1049","DeKalb County",44.32,35.44,34.3,26.01
"26","1051","Elmore County",16.18,8.93,9.79,2.71
"27","1053","Escambia County",36.01,32.7,32.88,30.71
"28","1055","Etowah County",48.19,36.16,35.74,29.18
"29","1057","Fayette County",42.79,37.26,35.04,31.37
"30","1059","Franklin County",46.51,39.98,40.04,36.14
"31","1061","Geneva County",19.51,15.42,16.3,10.36
"32","1063","Greene County",29.87,23.36,25.33,14.88
"33","1065","Hale County",32.33,27.02,28.75,16.61
"34","1067","Henry County",33.08,21.97,22.33,10.7
"35","1069","Houston County",17.0,5.24,3.28,0.55
"36","1071","Jackson County",36.94,28.31,29.74,19.02
"37","1073","Jefferson County",20.98,6.93,5.8,0.31
"38","1075","Lamar County",32.42,25.61,24.16,20.24
"39","1077","Lauderdale County",39.42,30.13,32.46,11.73
"40","1079","Lawrence County",25.54,16.0,15.68,8.09
"41","1081","Lee County",34.1,25.07,27.99,4.55
"42","1083","Limestone County",16.36,12.58,13.38,3.6
"43","1085","Lowndes County",28.05,23.6,24.97,16.4
"44","1087","Macon County",27.09,19.77,19.28,12.44
"45","1089","Madison County",17.08,6.01,4.6,0.29
"46","1091","Marengo County",41.21,28.93,30.06,16.97
"47","1093","Marion County",52.62,44.52,44.3,35.28
"48","1095","Marshall County",42.98,33.33,33.51,22.48
"49","1097","Mobile County",18.1,4.87,3.86,0.11
"50","1099","Monroe County",56.85,47.88,49.49,30.64
"51","1101","Montgomery County",21.56,4.07,2.87,0.33
"52","1103","Morgan County",24.12,7.22,4.36,0.72
"53","1105","Perry County",25.75,20.88,20.35,17.04
"54","1107","Pickens County",31.38,23.67,24.48,14.22
"55","1109","Pike County",26.24,19.77,20.29,13.16
"56","1111","Randolph County",34.15,26.62,28.08,14.71
"57","1113","Russell County",21.98,7.25,3.35,1.17
"58","1115","St. Clair County",39.54,28.35,28.0,17.96
"59","1117","Shelby County",26.03,14.07,14.02,5.0
"60","1119","Sumter County",24.52,10.59,7.15,2.1
"61","1121","Talladega County",37.43,32.31,32.96,19.11
"62","1123","Tallapoosa County",41.55,31.26,31.92,20.09
"63","1125","Tuscaloosa County",23.24,5.58,3.72,0.21
"64","1127","Walker County",48.67,32.23,32.06,19.46
"65","1129","Washington County",42.16,26.48,25.08,10.17
"66","1131","Wilcox County",42.78,35.96,34.44,27.17
"67","1133","Winston County",46.76,39.52,40.06,32.69
"68","2013","Aleutians East Borough",322.52,322.52,322.52,322.52
"69","2016","Aleutians West Census Area",468.36,468.36,468.36,468.36
"70","2020","Anchorage Municipality",19.16,4.34,2.92,0.48
"71","2050","Bethel Census Area",178.08,173.36,177.61,164.41
"72","2060","Bristol Bay Borough",65.27,65.27,65.27,65.27
"73","2068","Denali Borough",188.81,188.81,188.81,188.81
"74","2070","Dillingham Census Area",16.91,8.94,8.94,0.98
"75","2090","Fairbanks North Star Borough",264.57,258.08,259.02,243.56
"76","2100","Haines Borough",75.15,75.15,75.15,75.15
"77","2105","Hoonah-Angoon Census Area","","","",""
"78","2110","Juneau City and Borough",8.35,4.51,4.03,2.25
"79","2122","Kenai Peninsula Borough",38.06,11.97,8.49,0.35
"80","2130","Ketchikan Gateway Borough",188.49,183.54,184.37,176.94
"81","2150","Kodiak Island Borough",21.28,5.99,1.14,0.5
"82","2164","Lake and Peninsula Borough",83.43,83.43,83.43,83.43
"83","2170","Matanuska-Susitna Borough",69.27,33.99,30.33,22.93
"84","2180","Nome Census Area",8.95,4.74,4.74,0.53
"85","2185","North Slope Borough",189.87,104.64,122.42,1.64
"86","2188","Northwest Arctic Borough",35.81,22.52,22.52,9.24
"87","2195","Petersburg Census Area","","","",""
"88","2198","Prince of Wales-Hyder Census Area","","","",""
"89","2220","Sitka City and Borough",1.61,1.15,1.15,0.69
"90","2230","Skagway Municipality","","","",""
"91","2240","Southeast Fairbanks Census Area",231.33,225.47,222.73,222.35
"92","2261","Valdez-Cordova Census Area",107.87,50.55,43.48,0.3
"93","2270","Wade Hampton Census Area",169.1,169.1,169.1,169.1
"94","2275","Wrangell City and Borough","","","",""
"95","2282","Yakutat City and Borough",207.84,207.84,207.84,207.84
"96","2290","Yukon-Koyukuk Census Area",396.85,281.45,263.67,201.62
"97","4001","Apache County",68.09,27.14,24.48,2.22
"98","4003","Cochise County",63.47,24.15,23.78,0.31
"99","4005","Coconino County",96.79,27.28,8.72,0.13
"100","4007","Gila County",66.34,38.71,31.69,5.44
"101","4009","Graham County",73.21,64.89,69.26,37.38
"102","4011","Greenlee County",85.97,73.01,67.26,65.8
"103","4012","La Paz County",105.02,80.69,72.77,65.01
"104","4013","Maricopa County",59.81,5.19,4.12,0.15
"105","4015","Mohave County",76.85,31.9,33.18,1.26
"106","4017","Navajo County",64.69,36.67,41.52,0.84
"107","4019","Pima County",92.75,7.61,4.04,0.39
"108","4021","Pinal County",42.58,24.65,26.27,0.36
"109","4023","Santa Cruz County",43.29,37.91,40.38,21.72
"110","4025","Yavapai County",52.41,15.8,10.06,1.37
"111","4027","Yuma County",137.49,129.54,130.18,85.63
"112","5001","Arkansas County",40.36,34.8,33.35,29.51
"113","5003","Ashley County",35.18,27.7,26.48,23.34
"114","5005","Baxter County",63.1,56.14,55.94,47.41
"115","5007","Benton County",29.36,18.09,17.59,9.31
"116","5009","Boone County",62.18,56.5,56.47,52.53
"117","5011","Bradley County",47.1,41.53,40.65,38.53
"118","5013","Calhoun County",47.9,44.19,44.19,40.49
"119","5015","Carroll County",42.68,34.96,35.09,28.28
"120","5017","Chicot County",24.59,18.77,17.51,15.45
"121","5019","Clark County",18.61,13.03,14.82,3.85
"122","5021","Clay County",34.54,21.06,17.1,11.65
"123","5023","Cleburne County",35.1,27.83,27.91,19.19
"124","5025","Cleveland County",26.63,21.07,21.07,15.51
"125","5027","Columbia County",33.25,30.82,31.83,25.06
"126","5029","Conway County",36.21,29.29,28.42,23.86
"127","5031","Craighead County",18.56,5.4,3.91,0.9
"128","5033","Crawford County",21.67,12.24,10.72,6.06
"129","5035","Crittenden County",24.86,10.13,8.62,5.95
