"source_row_id","fips_county","county_name","max_dist_ed_2009","mean_dist_ed_2009","median_dist_ed_2009","min_dist_ed_2009"
"1","1001","Autauga County",25.77,14.37,12.77,9.81
"2","1003","Baldwin County",22.28,9.25,8.54,0.83
"3","1005","Barbour County",25.59,22.78,23.07,16.38
"4","1007","Bibb County",13.8,8.07,7.76,2.67
"5","1009","Blount County",25.59,21.05,21.52,14.67
"6","1011","Bullock County",11.74,8.26,10.2,0.9
"7","1013","Butler County",17.78,11.5,14.11,1.65
"8","1015","Calhoun County",27.55,21.38,22.35,10.89
"9","1017","Chambers County",18.89,15.38,15.17,8.18
"10","1019","Cherokee County",9.94,6.46,6.95,0.6
"11","1021","Chilton County",15.83,7.6,7.8,1.32
"12","1023","Choctaw County",31.36,24.88,24.59,18.97
"13","1025","Clarke County",21.07,8.3,7.53,0.96
"14","1027","Clay County",12.41,6.71,6.55,1.33
"15","1029","Cleburne County",24.69,20.57,19.24,19.1
"16","1031","Coffee County",15.56,11.29,13.62,1.42
"17","1033","Colbert County",17.53,5.06,2.68,1.26
"18","1035","Conecuh County",17.05,8.35,8.39,2.05
"19","1037","Coosa County",25.09,22.58,22.07,20.57
"20","1039","Covington County",10.59,3.83,1.99,0.61
"21","1041","Crenshaw County",18.92,10.07,10.05,2.08
"22","1043","Cullman County",17.91,8.23,8.03,0.6
"23","1045","Dale County",14.26,7.64,9.09,0.41
"24","1047","Dallas County",42.5,37.06,37.09,32.08
"25","1049","DeKalb County",30.16,22.41,22.68,13.96
"26","1051","Elmore County",12.42,7.6,9.31,2.04
"27","1053","Escambia County",9.29,3.81,2.64,0.31
"28","1055","Etowah County",15.29,4.68,3.1,0.5
"29","1057","Fayette County",33.11,29.18,30.85,24.47
"30","1059","Franklin County",24.69,13.95,15.91,1.63
"31","1061","Geneva County",11.86,8.68,10.23,0.5
"32","1063","Greene County",11.21,7.82,11.02,1.23
"33","1065","Hale County",18.26,9.39,9.58,1.23
"34","1067","Henry County",22.39,19.16,19.95,13.17
"35","1069","Houston County",21.99,17.86,18.08,11.4
"36","1071","Jackson County",42.03,28.72,33.29,9.04
"37","1073","Jefferson County",18.89,5.4,4.82,0.4
"38","1075","Lamar County",25.13,23.17,24.16,20.24
"39","1077","Lauderdale County",23.7,9.98,7.87,3.59
"40","1079","Lawrence County",14.46,8.0,8.9,0.81
"41","1081","Lee County",23.64,19.09,20.95,2.49
"42","1083","Limestone County",23.26,15.24,14.13,8.89
"43","1085","Lowndes County",31.77,26.36,27.29,19.1
"44","1087","Macon County",23.24,14.49,14.06,11.66
"45","1089","Madison County",36.7,24.08,24.13,13.83
"46","1091","Marengo County",26.09,19.55,20.5,9.6
"47","1093","Marion County",36.03,26.92,26.79,16.74
"48","1095","Marshall County",37.79,24.92,22.68,16.4
"49","1097","Mobile County",20.81,5.1,3.75,0.58
"50","1099","Monroe County",25.84,23.34,23.2,21.23
"51","1101","Montgomery County",24.06,5.05,4.03,0.58
"52","1103","Morgan County",21.95,7.24,5.46,0.11
"53","1105","Perry County",19.71,17.64,18.13,14.59
"54","1107","Pickens County",13.25,9.74,9.66,4.25
"55","1109","Pike County",9.82,6.23,7.94,0.63
"56","1111","Randolph County",9.53,5.37,5.77,0.39
"57","1113","Russell County",21.98,7.49,4.02,1.44
"58","1115","St. Clair County",16.93,9.57,9.65,2.43
"59","1117","Shelby County",23.99,13.37,12.02,6.79
"60","1119","Sumter County",22.58,12.06,10.15,2.1
"61","1121","Talladega County",26.97,19.56,19.55,9.06
"62","1123","Tallapoosa County",17.18,10.31,13.16,2.19
"63","1125","Tuscaloosa County",31.15,26.56,27.4,11.27
"64","1127","Walker County",18.56,8.51,8.67,1.5
"65","1129","Washington County",20.47,12.19,12.33,3.89
"66","1131","Wilcox County",26.24,21.69,25.41,10.7
"67","1133","Winston County",24.98,22.99,23.44,20.15
"68","2013","Aleutians East Borough",404.54,404.54,404.54,404.54
"69","2016","Aleutians West Census Area","","","",""
"70","2020","Anchorage Municipality",19.63,4.91,3.69,0.43
"71","2050","Bethel Census Area",101.79,47.33,39.61,0.58
"72","2060","Bristol Bay Borough",174.06,174.06,174.06,174.06
"73","2068","Denali Borough",74.38,74.38,74.38,74.38
"74","2070","Dillingham Census Area",165.12,156.31,156.31,147.5
"75","2090","Fairbanks North Star Borough",31.39,6.87,3.43,0.37
"76","2100","Haines Borough",75.15,75.15,75.15,75.15
"77","2105","Hoonah-Angoon Census Area","","","",""
"78","2110","Juneau City and Borough",8.35,4.51,4.03,2.25
"79","2122","Kenai Peninsula Borough",38.06,11.97,8.49,0.35
"80","2130","Ketchikan Gateway Borough",6.93,3.54,3.47,0.27
"81","2150","Kodiak Island Borough",21.28,5.99,1.14,0.5
"82","2164","Lake and Peninsula Borough",159.41,159.41,159.41,159.41
"83","2170","Matanuska-Susitna Borough",68.99,34.0,30.33,22.73
"84","2180","Nome Census Area",20.68,17.82,17.82,14.96
"85","2185","North Slope Borough",189.87,104.64,122.42,1.64
"86","2188","Northwest Arctic Borough",197.12,183.3,183.3,169.48
"87","2195","Petersburg Census Area","","","",""
"88","2198","Prince of Wales-Hyder Census Area","","","",""
"89","2220","Sitka City and Borough",92.24,91.94,91.94,91.65
"90","2230","Skagway Municipality","","","",""
"91","2240","Southeast Fairbanks Census Area",176.95,116.93,91.22,82.6
"92","2261","Valdez-Cordova Census Area",77.23,27.57,4.79,0.69
"93","2270","Wade Hampton Census Area",123.14,123.14,123.14,123.14
"94","2275","Wrangell City and Borough","","","",""
"95","2282","Yakutat City and Borough",208.28,208.28,208.28,208.28
"96","2290","Yukon-Koyukuk Census Area",255.34,164.42,168.02,66.32
"97","4001","Apache County",61.51,30.63,29.94,2.22
"98","4003","Cochise County",28.68,14.03,18.82,0.99
"99","4005","Coconino County",62.27,19.29,4.05,0.24
"100","4007","Gila County",55.01,28.92,27.46,1.48
"101","4009","Graham County",33.04,8.53,5.03,0.9
"102","4011","Greenlee County",35.17,31.45,30.86,28.32
"103","4012","La Paz County",44.63,21.86,20.16,0.52
"104","4013","Maricopa County",62.31,3.73,3.07,0.15
"105","4015","Mohave County",38.02,6.3,3.3,0.7
