"source_row_id","fips_county","county_name","max_dist_clinic_2009","mean_dist_clinic_2009","median_dist_clinic_2009","min_dist_clinic_2009"
"1","1001","Autauga County",12.86,9.46,10.29,3.7
"2","1003","Baldwin County",14.45,8.56,9.03,1.74
"3","1005","Barbour County",7.56,2.7,2.17,0.59
"4","1007","Bibb County",7.73,4.22,2.69,2.26
"5","1009","Blount County",12.5,5.78,4.72,0.11
"6","1011","Bullock County",11.29,5.59,5.11,0.87
"7","1013","Butler County",8.32,3.71,4.01,0.76
"8","1015","Calhoun County",9.0,4.02,3.74,0.63
"9","1017","Chambers County",15.63,10.97,12.39,1.6
"10","1019","Cherokee County",10.11,6.41,6.63,0.24
"11","1021","Chilton County",14.09,5.44,5.53,0.78
"12","1023","Choctaw County",9.29,4.15,3.52,0.26
"13","1025","Clarke County",7.72,3.44,2.77,0.55
"14","1027","Clay County",17.7,13.51,13.48,9.39
"15","1029","Cleburne County",8.79,5.02,4.91,1.47
"16","1031","Coffee County",15.05,9.83,9.19,5.9
"17","1033","Colbert County",8.07,4.22,4.24,1.19
"18","1035","Conecuh County",11.27,6.13,4.3,1.76
"19","1037","Coosa County",7.4,5.71,6.97,2.77
"20","1039","Covington County",7.2,2.87,2.0,0.7
"21","1041","Crenshaw County",13.72,8.24,7.74,2.05
"22","1043","Cullman County",12.22,5.26,5.13,0.7
"23","1045","Dale County",12.46,6.13,6.45,0.62
"24","1047","Dallas County",13.6,4.59,2.75,0.27
"25","1049","DeKalb County",11.99,4.74,3.84,0.93
"26","1051","Elmore County",10.26,6.43,7.44,1.77
"27","1053","Escambia County",4.87,2.37,2.08,0.34
"28","1055","Etowah County",7.52,2.81,1.81,0.21
"29","1057","Fayette County",14.42,9.65,11.51,0.72
"30","1059","Franklin County",9.92,3.27,3.11,0.52
"31","1061","Geneva County",10.76,5.02,3.43,0.49
"32","1063","Greene County",11.08,6.17,6.26,1.15
"33","1065","Hale County",14.41,8.01,7.87,1.05
"34","1067","Henry County",10.57,5.33,5.72,0.68
"35","1069","Houston County",12.3,9.6,9.6,5.27
"36","1071","Jackson County",5.68,3.15,2.92,0.62
"37","1073","Jefferson County",14.2,4.12,3.18,0.03
"38","1075","Lamar County",6.94,3.47,2.83,0.65
"39","1077","Lauderdale County",16.24,8.96,8.24,3.38
"40","1079","Lawrence County",10.27,5.42,5.64,0.75
"41","1081","Lee County",14.31,4.9,4.03,0.96
"42","1083","Limestone County",11.05,5.03,4.9,0.69
"43","1085","Lowndes County",9.21,4.56,3.28,2.47
"44","1087","Macon County",13.34,4.71,2.38,0.22
"45","1089","Madison County",14.46,5.2,4.13,0.29
"46","1091","Marengo County",14.08,5.28,3.38,0.63
"47","1093","Marion County",10.56,4.12,3.02,0.73
"48","1095","Marshall County",13.07,3.69,2.33,0.85
"49","1097","Mobile County",14.49,4.01,3.3,0.14
"50","1099","Monroe County",13.72,6.27,6.39,0.74
"51","1101","Montgomery County",10.93,3.17,2.67,0.25
"52","1103","Morgan County",11.22,3.63,2.46,0.59
"53","1105","Perry County",8.41,4.25,3.71,1.16
"54","1107","Pickens County",12.25,6.65,6.87,0.61
"55","1109","Pike County",10.51,5.91,4.79,1.91
"56","1111","Randolph County",8.22,2.63,1.88,0.39
"57","1113","Russell County",11.2,3.68,2.29,0.28
"58","1115","St. Clair County",14.08,7.8,8.11,1.54
"59","1117","Shelby County",15.71,10.42,10.55,2.78
"60","1119","Sumter County",12.43,6.89,7.15,0.64
"61","1121","Talladega County",9.74,3.36,1.52,0.4
