"source_row_id","fips_county","county_name","max_dist_medsurg_icu_2009","mean_dist_medsurg_icu_2009","median_dist_medsurg_icu_2009","min_dist_medsurg_icu_2009"
"1","1001","Autauga County",19.22,5.55,2.16,0.53
"2","1003","Baldwin County",12.2,6.51,6.87,0.83
"3","1005","Barbour County",22.54,8.55,6.02,0.68
"4","1007","Bibb County",26.18,22.23,22.98,17.51
"5","1009","Blount County",18.61,9.56,10.4,2.28
"6","1011","Bullock County",28.6,24.19,24.09,19.98
"7","1013","Butler County",18.14,7.13,5.85,0.76
"8","1015","Calhoun County",13.94,3.69,2.84,0.41
"9","1017","Chambers County",18.12,6.27,3.57,0.84
"10","1019","Cherokee County",9.94,6.46,6.95,0.6
"11","1021","Chilton County",28.95,24.69,25.78,17.8
"12","1023","Choctaw County",30.44,25.84,26.33,20.26
"13","1025","Clarke County",38.19,32.11,31.2,27.23
"14","1027","Clay County",12.41,6.71,6.55,1.33
"15","1029","Cleburne County",16.93,14.82,14.16,14.05
"16","1031","Coffee County",14.15,5.69,3.91,0.65
"17","1033","Colbert County",13.42,4.1,1.61,0.32
"18","1035","Conecuh County",23.0,17.67,19.18,10.12
"19","1037","Coosa County",12.42,9.01,7.62,6.99
"20","1039","Covington County",19.51,4.93,2.1,0.29
"21","1041","Crenshaw County",20.03,18.76,18.63,18.04
"22","1043","Cullman County",14.58,7.13,7.02,0.6
"23","1045","Dale County",9.63,5.76,6.75,0.41
"24","1047","Dallas County",15.17,4.82,2.82,0.14
"25","1049","DeKalb County",18.73,8.5,7.3,2.44
"26","1051","Elmore County",20.4,9.63,8.23,2.04
"27","1053","Escambia County",12.69,3.67,2.64,0.31
"28","1055","Etowah County",12.31,3.98,3.05,0.5
"29","1057","Fayette County",12.39,6.97,4.98,1.98
"30","1059","Franklin County",23.12,9.82,6.79,0.58
"31","1061","Geneva County",12.02,8.55,9.77,0.5
"32","1063","Greene County",26.11,20.71,21.23,14.8
"33","1065","Hale County",28.01,20.71,20.48,15.24
"34","1067","Henry County",23.19,17.27,17.29,9.71
"35","1069","Houston County",16.15,4.64,2.79,0.93
