"source_row_id","fips_county","county_name","max_dist_obstetrics_2009","mean_dist_obstetrics_2009","median_dist_obstetrics_2009","min_dist_obstetrics_2009"
"1","1001","Autauga County",22.45,14.15,11.92,9.26
"2","1003","Baldwin County",12.2,6.51,6.87,0.83
"3","1005","Barbour County",29.29,24.07,23.07,21.78
"4","1007","Bibb County",26.55,22.35,22.98,17.51
"5","1009","Blount County",25.36,19.38,18.77,14.34
"6","1011","Bullock County",25.5,21.95,21.17,19.98
"7","1013","Butler County",32.46,24.68,23.6,18.42
"8","1015","Calhoun County",14.43,4.68,3.64,0.67
"9","1017","Chambers County",18.12,6.27,3.57,0.84
"10","1019","Cherokee County",22.33,19.23,17.95,17.52
"11","1021","Chilton County",31.46,26.56,27.91,17.8
"12","1023","Choctaw County",33.05,25.48,24.3,20.26
"13","1025","Clarke County",18.68,8.1,7.53,0.96
"14","1027","Clay County",21.43,18.72,19.43,14.6
"15","1029","Cleburne County",18.81,16.19,15.94,14.05
"16","1031","Coffee County",18.53,7.76,5.78,0.65
"17","1033","Colbert County",16.25,4.64,2.15,0.32
"18","1035","Conecuh County",23.0,17.67,19.18,10.12
"19","1037","Coosa County",12.42,9.01,7.62,6.99
"20","1039","Covington County",20.17,9.5,9.94,0.76
"21","1041","Crenshaw County",18.92,10.07,10.05,2.08
"22","1043","Cullman County",16.55,8.47,8.73,1.6
"23","1045","Dale County",20.28,11.89,11.14,4.99
"24","1047","Dallas County",15.17,4.82,2.82,0.14
"25","1049","DeKalb County",18.73,8.64,7.3,2.44
"26","1051","Elmore County",21.64,13.5,13.24,7.3
"27","1053","Escambia County",12.96,4.43,3.82,0.8
"28","1055","Etowah County",12.31,4.89,4.3,0.5
"29","1057","Fayette County",22.26,14.82,16.06,4.98
"30","1059","Franklin County",23.12,10.32,6.79,0.58
"31","1061","Geneva County",19.51,14.86,15.13,9.37
"32","1063","Greene County",29.87,23.33,25.33,14.8
"33","1065","Hale County",28.01,20.97,20.48,15.24
"34","1067","Henry County",26.0,18.08,18.61,9.71
"35","1069","Houston County",14.88,4.53,2.79,0.93
"36","1071","Jackson County",23.14,10.96,11.39,0.87
