"source_row_id","fips_county","county_name","max_dist_ped_icu_2009","mean_dist_ped_icu_2009","median_dist_ped_icu_2009","min_dist_ped_icu_2009"
"1","1001","Autauga County",82.56,78.05,79.04,68.26
"2","1003","Baldwin County",52.53,37.3,39.75,19.41
"3","1005","Barbour County",103.76,93.84,96.54,77.57
"4","1007","Bibb County",70.03,63.42,61.39,58.83
"5","1009","Blount County",40.73,31.89,32.63,23.03
"6","1011","Bullock County",105.21,102.47,104.15,96.36
"7","1013","Butler County",91.41,83.49,85.24,70.87
"8","1015","Calhoun County",34.47,27.42,26.79,18.41
"9","1017","Chambers County",77.23,72.75,73.38,65.12
"10","1019","Cherokee County",33.47,27.37,28.37,22.19
"11","1021","Chilton County",67.26,56.9,55.73,48.49
"12","1023","Choctaw County",109.37,107.61,108.21,104.64
"13","1025","Clarke County",104.96,91.48,87.98,77.25
"14","1027","Clay County",40.15,35.56,34.45,33.2
"15","1029","Cleburne County",49.19,41.03,39.53,35.88
"16","1031","Coffee County",63.86,50.1,49.21,41.47
"17","1033","Colbert County",17.44,5.05,2.68,1.26
"18","1035","Conecuh County",76.53,67.27,67.84,60.93
"19","1037","Coosa County",52.68,44.64,43.23,38.0
"20","1039","Covington County",57.32,46.01,46.1,28.07
"21","1041","Crenshaw County",90.59,75.25,74.63,62.29
"22","1043","Cullman County",44.99,33.1,32.08,23.82
"23","1045","Dale County",68.33,58.07,59.3,47.67
"24","1047","Dallas County",109.65,95.47,93.17,86.85
"25","1049","DeKalb County",47.6,38.67,38.96,31.23
"26","1051","Elmore County",79.59,72.31,72.86,63.41
"27","1053","Escambia County",49.13,43.95,44.24,39.2
"28","1055","Etowah County",39.87,32.47,32.01,25.08
"29","1057","Fayette County",75.52,69.86,73.03,61.79
"30","1059","Franklin County",33.14,23.51,20.03,15.45
"31","1061","Geneva County",47.26,37.8,37.5,29.78
"32","1063","Greene County",115.06,110.15,108.74,106.66
"33","1065","Hale County",106.57,97.71,98.19,88.82
"34","1067","Henry County",81.99,74.8,75.55,67.0
"35","1069","Houston County",64.51,56.95,57.52,50.02
"36","1071","Jackson County",57.05,51.2,50.95,42.03
