"source_row_id","fips_state","state_abbr","fips_county","county_name","fluvacc_aapi_2020","fluvacc_aapi_white_2020","fluvacc_aian_2020","fluvacc_aian_white_2020","fluvacc_black_2020","fluvacc_black_white_2020","fluvacc_hispanic_2020","fluvacc_hispanic_white_2020","fluvacc_white_2020","prevhosp_aapi_2020","prevhosp_aapi_white_2020","prevhosp_aian_2020","prevhosp_aian_white_2020","prevhosp_black_2020","prevhosp_black_white_2020","prevhosp_hispanic_2020","prevhosp_hispanic_white_2020","prevhosp_white_2020"
"1","20","KS","20071","Greeley County","","","","","","","","",0.05,"","","","","","","","",6981.0
"2","46","SD","46007","Bennett County","","",0.05,-0.009999999999999995,"","","","",0.06,"","",10791.0,4638.0,"","","","",6153.0
"3","46","SD","46031","Corson County","","",0.06,-0.010000000000000009,"","","","",0.07,"","",7596.0,2776.0,"","","","",4820.0
"4","46","SD","46121","Todd County","","",0.22,0.15,"","","","",0.07,"","",11812.0,"","","","","",""
"5","48","TX","48151","Fisher County","","","","","","",0.04,-0.049999999999999996,0.09,"","","","","","",4844.0,1165.0,3679.0
"6","02","AK","02180","Nome Census Area","","",0.02,-0.06999999999999999,"","","","",0.09,"","",10030.0,"","","","","",""
"7","31","NE","31057","Dundy County","","","","","","","","",0.09,"","","","","","","","",2476.0
"8","31","NE","31149","Rock County","","","","","","","","",0.09,"","","","","","","","",3126.0
"9","30","MT","30019","Daniels County","","","","","","","","",0.09,"","","","","","","","",3160.0
"10","31","NE","31031","Cherry County","","","","","","","","",0.1,"","","","","","","","",3045.0
"11","35","NM","35011","DeBaca County","","","","","","",0.17,0.06000000000000001,0.11,"","","","","","",4575.0,3359.0,1216.0
"12","31","NE","31017","Brown County","","","","","","","","",0.11,"","","","","","","","",1896.0
"13","46","SD","46071","Jackson County","","","","","","","","",0.11,"","","","","","","","",2934.0
"14","31","NE","31133","Pawnee County","","","","","","","","",0.11,"","","","","","","","",3416.0
"15","26","MI","26153","Schoolcraft County","","",0.22,0.1,"","","","",0.12,"","","","","","","","",3179.0
"16","26","MI","26095","Luce County","","",0.23,0.11000000000000001,"","","","",0.12,"","","","","","","","",3217.0
"17","49","UT","49055","Wayne County","","","","","","","","",0.12,"","","","","","","","",536.0
"18","30","MT","30025","Fallon County","","","","","","","","",0.12,"","","","","","","","",4832.0
"19","48","TX","48275","Knox County","","","","",0.2,0.07,0.1,-0.03,0.13,"","","","","","","","",5219.0
"20","56","WY","56027","Niobrara County","","","","","","","","",0.13,"","","","","","","","",1194.0
"21","49","UT","49037","San Juan County","","",0.31,0.16999999999999998,"","",0.1,-0.04000000000000001,0.14,"","",5902.0,3526.0,"","","","",2376.0
"22","48","TX","48087","Collingsworth County","","","","","","",0.16,0.01999999999999999,0.14,"","","","","","",4009.0,-7735.0,11744.0
"23","20","KS","20047","Edwards County","","","","","","",0.29,0.14999999999999997,0.14,"","","","","","","","",4413.0
"24","21","KY","21057","Cumberland County","","","","",0.06,-0.08000000000000002,"","",0.14,"","","","",7750.0,-4594.0,"","",12344.0
"25","48","TX","48433","Stonewall County","","","","","","","","",0.14,"","","","","","","","",3383.0
"26","46","SD","46105","Perkins County","","","","","","","","",0.14,"","","","","","","","",3480.0
"27","08","CO","08125","Yuma County","","","","","","","","",0.14,"","","","","","","","",3719.0
"28","31","NE","31097","Johnson County","","","","","","","","",0.14,"","","","","","","","",4566.0
"29","31","NE","31089","Holt County","","","","","","","","",0.14,"","","","","","","","",5959.0
"30","29","MO","29223","Wayne County","","","","","","","","",0.14,"","","","","","","","",6338.0
"31","46","SD","46075","Jones County","","","","","","","","",0.15,"","","","","","","","",1428.0
"32","30","MT","30011","Carter County","","","","","","","","",0.15,"","","","","","","","",3730.0
"33","30","MT","30059","Meagher County","","","","","","","","",0.15,"","","","","","","","",5560.0
"34","38","ND","38023","Divide County","","","","","","","","",0.15,"","","","","","","","",6395.0
"35","22","LA","22065","Madison Parish","","","","",0.1,-0.06,"","",0.16,"","","","",7061.0,-568.0,"","",7629.0
"36","31","NE","31095","Jefferson County","","","","","","","","",0.16,"","","","","","","","",2443.0
"37","38","ND","38011","Bowman County","","","","","","","","",0.16,"","","","","","","","",2840.0
"38","31","NE","31103","Keya Paha County","","","","","","","","",0.16,"","","","","","","","",3465.0
"39","19","IA","19133","Monona County","","","","","","","","",0.16,"","","","","","","","",5279.0
"40","38","ND","38087","Slope County","","","","","","","","",0.16,"","","","","","","","",""
"41","06","CA","06049","Modoc County","","",0.24,0.06999999999999998,"","",0.13,-0.04000000000000001,0.17,"","","","","","","","",3203.0
"42","48","TX","48109","Culberson County","","","","","","",0.13,-0.04000000000000001,0.17,"","","","","","",8331.0,2637.0,5694.0
"43","48","TX","48495","Winkler County","","","","","","",0.15,-0.020000000000000018,0.17,"","","","","","",5111.0,-3213.0,8324.0
"44","19","IA","19101","Jefferson County",0.19,0.01999999999999999,"","","","",0.36,0.18999999999999997,0.17,"","","","","","","","",2837.0
"45","46","SD","46129","Walworth County","","",0.07,-0.1,"","","","",0.17,"","",2086.0,-3560.0,"","","","",5646.0
"46","48","TX","48447","Throckmorton County","","","","","","","","",0.17,"","","","","","","","",4828.0
"47","48","TX","48263","Kent County","","","","","","","","",0.17,"","","","","","","","",5412.0
"48","27","MN","27153","Todd County","","","","","","","","",0.17,"","","","","","","","",10345.0
"49","17","IL","17069","Hardin County","","","","","","","","",0.17,"","","","","","","","",12235.0
"50","48","TX","48023","Baylor County","","","","","","",0.06,-0.12,0.18,"","","","","","","","",7400.0
