"source_row_id","fips_county","county_name","state_name","fluvacc_aapi_2022","fluvacc_aapi_white_2022","fluvacc_aian_2022","fluvacc_aian_white_2022","fluvacc_black_2022","fluvacc_black_white_2022","fluvacc_hispanic_2022","fluvacc_hispanic_white_2022","fluvacc_white_2022","prevhosp_aapi_2022","prevhosp_aapi_white_2022","prevhosp_aian_2022","prevhosp_aian_white_2022","prevhosp_black_2022","prevhosp_black_white_2022","prevhosp_hispanic_2022","prevhosp_hispanic_white_2022","prevhosp_white_2022"
"1","46007","Bennett","South Dakota","","",4.0,-1.0,"","","","",5.0,"","",9002.0,5777.0,"","","","",3225.0
"2","48443","Terrell","Texas","","","","","","",10.0,2.0,8.0,"","","","","","","","",""
"3","26153","Schoolcraft","Michigan","","",14.0,6.0,"","","","",8.0,"","","","","","","","",""
"4","48151","Fisher","Texas","","","","","","",3.0,-7.0,10.0,"","","","","","",2280.0,373.0,1907.0
"5","46031","Corson","South Dakota","","",10.0,0.0,"","","","",10.0,"","",6202.0,924.0,"","","","",5278.0
"6","48103","Crane","Texas","","","","","","",8.0,-3.0,11.0,"","","","","","",1337.0,-7367.0,8704.0
"7","35011","De Baca","New Mexico","","","","","","",12.0,0.0,12.0,"","","","","","",3758.0,2997.0,761.0
"8","2180","Nome","Alaska","","",3.0,-9.0,"","","","",12.0,"","","","","","","","",""
"9","46121","Todd","South Dakota","","",16.0,4.0,"","","","",12.0,"","",7541.0,-2942.0,"","","","",10483.0
"10","49037","San Juan","Utah","","",30.0,17.0,"","",13.0,0.0,13.0,"","",4825.0,2099.0,"","","","",2726.0
"11","48109","Culberson","Texas","","","","","","",16.0,2.0,14.0,"","","","","","",7490.0,548.0,6942.0
"12","2050","Bethel","Alaska","","",3.0,-11.0,"","","","",14.0,"","","","","","","","",""
"13","26095","Luce","Michigan","","",32.0,18.0,"","","","",14.0,"","",10231.0,7140.0,"","","","",3091.0
"14","48087","Collingsworth","Texas","","","","","","",9.0,-6.0,15.0,"","","","","","",14707.0,6072.0,8635.0
"15","48043","Brewster","Texas","","","","","","",10.0,-5.0,15.0,"","","","","","",2615.0,152.0,2463.0
