"source_row_id","fips_state","all_1920","black_1920","white_1920","all_1922","black_1922","white_1922","all_1926","black_1926","white_1926","all_1928","black_1928","white_1928","all_1930","black_1930","white_1930","all_1932","black_1932","white_1932","all_1934","black_1934","white_1934","all_1936","black_1936","white_1936","all_1938","black_1938","white_1938","all_1940","black_1940","white_1940","all_1942","black_1942","white_1942","all_1944","black_1944","white_1944","all_1946","black_1946","white_1946","all_1948","black_1948","white_1948","all_1950","black_1950","white_1950","all_1952","black_1952","white_1952","all_1954","black_1954","white_1954","all_1956","all_1958","all_1960","all_1962","all_1964","all_1966","all_1968","all_1970","all_1972","all_1974","all_1976","all_1980"
"1","1.0",123.1,115.0,127.0,131.0,110.0,140.0,137.5,117.0,146.0,147.9,127.0,158.0,150.0,130.0,159.0,146.5,127.0,156.0,151.6,138.0,159.0,137.8,127.0,144.0,150.9,142.5,155.1,153.5,146.8,157.1,156.9,151.3,159.9,168.3,166.1,169.6,169.8,167.2,171.1,176.3,176.5,176.2,176.3,176.5,176.2,176.4,177.0,176.0,175.9,176.1,175.9,175.5,175.5,175.6,175.3,175.5,175.8,175.4,175.2,175.8,176.0,175.9,175.4
"2","2.0",177.4,"","","","","",169.9,"","",175.9,"","",176.2,"","",170.0,"","",172.6,"","",173.2,"","",173.8,"","","","","",180.0,"","",174.4,"","",180.0,"","",174.0,"","",175.0,"","",170.1,"","",172.0,"","",170.8,172.0,173.8,176.0,171.0,173.6,176.6,179.8,170.3,176.3,179.9,175.0
"3","4.0",162.6,"","",170.0,"","",165.5,"","",168.5,"","",175.1,"","",170.8,"","",167.3,"","",168.2,"","",167.0,"","",168.9,"","",168.2,"","",168.3,"","",166.7,"","",171.6,"","",170.9,"","",169.2,"","",170.5,"","",165.2,170.0,172.8,168.0,175.0,174.0,175.0,175.0,181.4,177.1,175.0,175.0
"4","5.0",126.3,112.0,131.0,130.0,115.0,135.0,146.4,132.0,151.0,145.5,132.0,150.0,149.4,131.0,154.0,137.8,116.0,143.0,143.8,124.0,150.0,150.3,132.0,156.0,157.6,140.0,163.1,158.6,144.3,163.1,160.5,146.9,164.8,159.5,141.8,165.3,163.2,151.3,167.0,169.7,166.1,170.8,173.9,172.1,174.5,171.6,171.6,172.0,173.1,172.2,173.3,173.2,174.0,173.1,174.9,175.4,175.5,175.4,174.0,175.0,175.0,175.0,175.3
"5","6.0",174.0,"","",179.0,"","",180.6,"","",181.1,"","",178.3,"","",178.7,"","",177.5,"","",177.3,"","",176.1,"","",176.6,"","",176.4,"","",176.4,"","",175.0,"","",175.0,"","",175.0,"","",175.0,"","",176.8,"","",175.9,177.6,177.7,177.9,179.0,177.5,178.0,178.0,177.0,176.0,176.0,176.2
"6","8.0",167.9,"","",174.0,"","",178.0,"","",178.0,"","",180.0,"","",178.2,"","",179.9,"","",169.0,"","",170.6,"","",171.9,"","",169.8,"","",175.2,"","",177.1,"","",177.3,"","",176.1,"","",174.3,"","",176.3,"","",178.0,178.1,178.3,179.3,178.2,179.2,179.6,179.0,179.7,176.5,179.7,180.0
"7","9.0",183.5,"","",184.0,"","",181.6,"","",181.2,"","",183.7,"","",180.6,"","",182.0,"","",182.9,"","",181.9,"","",183.1,"","",178.5,"","",180.0,"","",180.4,"","",180.6,"","",180.7,"","",180.9,"","",180.6,"","",179.3,179.8,180.4,180.5,179.6,180.0,180.0,180.0,180.0,180.0,180.0,180.3
"8","10.0",181.7,181.0,182.0,180.0,180.0,180.0,184.3,185.0,184.0,185.0,184.0,185.0,183.0,183.0,183.0,184.0,185.0,184.0,183.6,182.0,184.0,181.4,181.0,181.0,183.3,183.5,183.3,182.1,177.5,182.9,182.7,183.4,182.6,181.5,181.7,181.5,183.8,183.1,184.0,178.5,179.3,178.3,181.9,182.8,181.8,181.1,182.8,180.7,177.7,181.8,176.9,181.8,180.3,180.0,180.3,179.1,180.0,180.0,179.0,180.0,180.0,180.0,180.5
"9","11.0",178.0,178.0,178.0,178.0,178.0,178.0,180.6,180.0,181.0,180.5,180.0,180.0,173.6,175.0,173.0,179.7,179.0,180.0,179.9,180.0,180.0,175.9,176.0,176.0,180.8,180.6,180.8,178.8,178.8,178.8,169.6,170.1,169.4,175.8,177.0,175.0,177.4,177.3,177.4,174.6,176.2,173.3,176.0,173.5,178.5,177.8,177.4,178.3,176.6,175.8,177.7,176.6,177.6,180.2,181.9,181.7,180.0,176.8,182.0,181.0,181.0,182.0,179.9
"10","12.0",133.1,111.0,142.0,136.0,106.0,147.0,150.1,126.0,157.0,154.1,124.0,163.0,154.4,132.0,162.0,167.5,162.0,170.0,163.5,160.0,165.0,172.3,168.0,174.0,170.8,168.0,171.8,167.5,164.4,168.6,169.3,166.0,170.5,171.3,168.2,172.4,176.1,176.3,176.1,180.1,180.1,180.1,180.0,180.1,180.1,180.1,180.1,180.1,180.0,180.0,180.0,180.1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,179.7,179.4,180.0,180.0
