"source_row_id","fips_state","state_abbr","fips_county","county_name","state_name","hspa_cat_2022","hspa_cat_2024"
"1","02","AK","02013","Aleutians East Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"2","02","AK","02016","Aleutians West Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"3","02","AK","02020","Anchorage Municipality","Alaska","Part of county is shortage area","Whole county is shortage area"
"4","02","AK","02050","Bethel Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"5","02","AK","02060","Bristol Bay Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"6","02","AK","02063","Chugach Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"7","02","AK","02066","Copper River Census Area","Alaska","None of county is shortage area","None of county is shortage area"
"8","02","AK","02068","Denali Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"9","02","AK","02070","Dillingham Census Area","Alaska","Whole county is shortage area","None of county is shortage area"
"10","02","AK","02090","Fairbanks North Star Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"11","02","AK","02100","Haines Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"12","02","AK","02105","Hoonah-Angoon Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"13","02","AK","02110","Juneau City and Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"14","02","AK","02122","Kenai Peninsula Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"15","02","AK","02130","Ketchikan Gateway Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"16","02","AK","02150","Kodiak Island Borough","Alaska","None of county is shortage area","None of county is shortage area"
"17","02","AK","02158","Kusilvak Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"18","02","AK","02164","Lake and Peninsula Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"19","02","AK","02170","Matanuska-Susitna Borough","Alaska","Part of county is shortage area","Whole county is shortage area"
"20","02","AK","02180","Nome Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"21","02","AK","02185","North Slope Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"22","02","AK","02188","Northwest Arctic Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"23","02","AK","02195","Petersburg Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"24","02","AK","02198","Prince of Wales-Hyder Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"25","02","AK","02220","Sitka City and Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"26","02","AK","02230","Skagway Municipality","Alaska","Whole county is shortage area","Whole county is shortage area"
"27","02","AK","02240","Southeast Fairbanks Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"28","02","AK","02275","Wrangell City and Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"29","02","AK","02282","Yakutat City and Borough","Alaska","Whole county is shortage area","Whole county is shortage area"
"30","02","AK","02290","Yukon-Koyukuk Census Area","Alaska","Whole county is shortage area","Whole county is shortage area"
"31","01","AL","01001","Autauga County","Alabama","Part of county is shortage area","Whole county is shortage area"
"32","01","AL","01003","Baldwin County","Alabama","Part of county is shortage area","Part of county is shortage area"
"33","01","AL","01005","Barbour County","Alabama","Part of county is shortage area","Whole county is shortage area"
"34","01","AL","01007","Bibb County","Alabama","Whole county is shortage area","Whole county is shortage area"
"35","01","AL","01009","Blount County","Alabama","Whole county is shortage area","Whole county is shortage area"
"36","01","AL","01011","Bullock County","Alabama","Whole county is shortage area","Whole county is shortage area"
"37","01","AL","01013","Butler County","Alabama","Whole county is shortage area","Whole county is shortage area"
"38","01","AL","01015","Calhoun County","Alabama","Part of county is shortage area","Whole county is shortage area"
"39","01","AL","01017","Chambers County","Alabama","Part of county is shortage area","Whole county is shortage area"
"40","01","AL","01019","Cherokee County","Alabama","Part of county is shortage area","Whole county is shortage area"
"41","01","AL","01021","Chilton County","Alabama","Whole county is shortage area","Whole county is shortage area"
"42","01","AL","01023","Choctaw County","Alabama","Whole county is shortage area","Whole county is shortage area"
"43","01","AL","01025","Clarke County","Alabama","Part of county is shortage area","Whole county is shortage area"
"44","01","AL","01027","Clay County","Alabama","Whole county is shortage area","Whole county is shortage area"
"45","01","AL","01029","Cleburne County","Alabama","Whole county is shortage area","Whole county is shortage area"
"46","01","AL","01031","Coffee County","Alabama","Whole county is shortage area","Whole county is shortage area"
"47","01","AL","01033","Colbert County","Alabama","Part of county is shortage area","Whole county is shortage area"
"48","01","AL","01035","Conecuh County","Alabama","Whole county is shortage area","Whole county is shortage area"
"49","01","AL","01037","Coosa County","Alabama","Whole county is shortage area","Whole county is shortage area"
