"source_row_id","fips_county","county_name","state_name","chips_vendmach_tax_rate_2011","soda_vendmach_tax_rate_2011"
"1","13143","Haralson","GA",4.0,4.0
"2","13145","Harris","GA",4.0,4.0
"3","13147","Hart","GA",4.0,4.0
"4","13149","Heard","GA",4.0,4.0
"5","13151","Henry","GA",4.0,4.0
"6","13153","Houston","GA",4.0,4.0
"7","13155","Irwin","GA",4.0,4.0
"8","13157","Jackson","GA",4.0,4.0
"9","13159","Jasper","GA",4.0,4.0
"10","13161","Jeff Davis","GA",4.0,4.0
"11","13163","Jefferson","GA",4.0,4.0
"12","13165","Jenkins","GA",4.0,4.0
"13","13167","Johnson","GA",4.0,4.0
"14","13169","Jones","GA",4.0,4.0
"15","13171","Lamar","GA",4.0,4.0
"16","13173","Lanier","GA",4.0,4.0
"17","13175","Laurens","GA",4.0,4.0
"18","13177","Lee","GA",4.0,4.0
"19","13179","Liberty","GA",4.0,4.0
"20","13181","Lincoln","GA",4.0,4.0
"21","13183","Long","GA",4.0,4.0
"22","13185","Lowndes","GA",4.0,4.0
"23","13187","Lumpkin","GA",4.0,4.0
"24","13189","McDuffie","GA",4.0,4.0
"25","13191","McIntosh","GA",4.0,4.0
"26","13193","Macon","GA",4.0,4.0
"27","13195","Madison","GA",4.0,4.0
"28","13197","Marion","GA",4.0,4.0
"29","13199","Meriwether","GA",4.0,4.0
"30","13201","Miller","GA",4.0,4.0
"31","13205","Mitchell","GA",4.0,4.0
"32","13207","Monroe","GA",4.0,4.0
"33","13209","Montgomery","GA",4.0,4.0
"34","13211","Morgan","GA",4.0,4.0
"35","13213","Murray","GA",4.0,4.0
"36","13215","Muscogee","GA",4.0,4.0
"37","13217","Newton","GA",4.0,4.0
"38","13219","Oconee","GA",4.0,4.0
"39","13221","Oglethorpe","GA",4.0,4.0
"40","13223","Paulding","GA",4.0,4.0
"41","13225","Peach","GA",4.0,4.0
"42","13227","Pickens","GA",4.0,4.0
"43","13229","Pierce","GA",4.0,4.0
"44","13231","Pike","GA",4.0,4.0
"45","13233","Polk","GA",4.0,4.0
"46","13235","Pulaski","GA",4.0,4.0
"47","13237","Putnam","GA",4.0,4.0
"48","13239","Quitman","GA",4.0,4.0
"49","13241","Rabun","GA",4.0,4.0
"50","13243","Randolph","GA",4.0,4.0
"51","13245","Richmond","GA",4.0,4.0
"52","13247","Rockdale","GA",4.0,4.0
"53","13249","Schley","GA",4.0,4.0
"54","13251","Screven","GA",4.0,4.0
"55","13253","Seminole","GA",4.0,4.0
"56","13255","Spalding","GA",4.0,4.0
"57","13257","Stephens","GA",4.0,4.0
"58","13259","Stewart","GA",4.0,4.0
"59","13261","Sumter","GA",4.0,4.0
"60","13263","Talbot","GA",4.0,4.0
"61","13265","Taliaferro","GA",4.0,4.0
"62","13267","Tattnall","GA",4.0,4.0
"63","13269","Taylor","GA",4.0,4.0
"64","13271","Telfair","GA",4.0,4.0
"65","13273","Terrell","GA",4.0,4.0
"66","13275","Thomas","GA",4.0,4.0
"67","13277","Tift","GA",4.0,4.0
"68","13279","Toombs","GA",4.0,4.0
"69","13281","Towns","GA",4.0,4.0
"70","13283","Treutlen","GA",4.0,4.0
"71","13285","Troup","GA",4.0,4.0
"72","13287","Turner","GA",4.0,4.0
"73","13289","Twiggs","GA",4.0,4.0
"74","13291","Union","GA",4.0,4.0
"75","13293","Upson","GA",4.0,4.0
"76","13295","Walker","GA",4.0,4.0
"77","13297","Walton","GA",4.0,4.0
"78","13299","Ware","GA",4.0,4.0
"79","13301","Warren","GA",4.0,4.0
"80","13303","Washington","GA",4.0,4.0
"81","13305","Wayne","GA",4.0,4.0
"82","13307","Webster","GA",4.0,4.0
"83","13309","Wheeler","GA",4.0,4.0
"84","13311","White","GA",4.0,4.0
"85","13313","Whitfield","GA",4.0,4.0
"86","13315","Wilcox","GA",4.0,4.0
"87","13317","Wilkes","GA",4.0,4.0
"88","13319","Wilkinson","GA",4.0,4.0
"89","13321","Worth","GA",4.0,4.0
"90","15001","Hawaii","HI",4.0,4.0
"91","15003","Honolulu","HI",4.0,4.0
"92","15005","Kalawao","HI",4.0,4.0
"93","15007","Kauai","HI",4.0,4.0
"94","15009","Maui","HI",4.0,4.0
"95","16001","Ada","ID",6.0,6.0
"96","16003","Adams","ID",6.0,6.0
"97","16005","Bannock","ID",6.0,6.0
"98","16007","Bear Lake","ID",6.0,6.0
"99","16009","Benewah","ID",6.0,6.0
"100","16011","Bingham","ID",6.0,6.0
"101","16013","Blaine","ID",6.0,6.0
"102","16015","Boise","ID",6.0,6.0
"103","16017","Bonner","ID",6.0,6.0
"104","16019","Bonneville","ID",6.0,6.0
"105","16021","Boundary","ID",6.0,6.0
"106","16023","Butte","ID",6.0,6.0
"107","16025","Camas","ID",6.0,6.0
"108","16027","Canyon","ID",6.0,6.0
"109","16029","Caribou","ID",6.0,6.0
"110","16031","Cassia","ID",6.0,6.0
"111","16033","Clark","ID",6.0,6.0
"112","16035","Clearwater","ID",6.0,6.0
"113","16037","Custer","ID",6.0,6.0
"114","16039","Elmore","ID",6.0,6.0
"115","16041","Franklin","ID",6.0,6.0
"116","16043","Fremont","ID",6.0,6.0
"117","16045","Gem","ID",6.0,6.0
"118","16047","Gooding","ID",6.0,6.0
"119","16049","Idaho","ID",6.0,6.0
"120","16051","Jefferson","ID",6.0,6.0
"121","16053","Jerome","ID",6.0,6.0
"122","16055","Kootenai","ID",6.0,6.0
"123","16057","Latah","ID",6.0,6.0
"124","16059","Lemhi","ID",6.0,6.0
"125","16061","Lewis","ID",6.0,6.0
"126","16063","Lincoln","ID",6.0,6.0
"127","16065","Madison","ID",6.0,6.0
"128","16067","Minidoka","ID",6.0,6.0
"129","16069","Nez Perce","ID",6.0,6.0
"130","16071","Oneida","ID",6.0,6.0
"131","16073","Owyhee","ID",6.0,6.0
"132","16075","Payette","ID",6.0,6.0
"133","16077","Power","ID",6.0,6.0
"134","13077","Coweta","GA",4.0,4.0
"135","13079","Crawford","GA",4.0,4.0
"136","13081","Crisp","GA",4.0,4.0
"137","13083","Dade","GA",4.0,4.0
"138","13085","Dawson","GA",4.0,4.0
"139","13087","Decatur","GA",4.0,4.0
"140","13089","DeKalb","GA",4.0,4.0
"141","13091","Dodge","GA",4.0,4.0
"142","13093","Dooly","GA",4.0,4.0
"143","13095","Dougherty","GA",4.0,4.0
"144","13097","Douglas","GA",4.0,4.0
"145","13099","Early","GA",4.0,4.0
"146","13101","Echols","GA",4.0,4.0
"147","13103","Effingham","GA",4.0,4.0
"148","13105","Elbert","GA",4.0,4.0
"149","13107","Emanuel","GA",4.0,4.0
"150","13109","Evans","GA",4.0,4.0
"151","13111","Fannin","GA",4.0,4.0
"152","13113","Fayette","GA",4.0,4.0
"153","13115","Floyd","GA",4.0,4.0
"154","13117","Forsyth","GA",4.0,4.0
"155","13119","Franklin","GA",4.0,4.0
"156","13121","Fulton","GA",4.0,4.0
"157","13123","Gilmer","GA",4.0,4.0
"158","13125","Glascock","GA",4.0,4.0
"159","13127","Glynn","GA",4.0,4.0
"160","13129","Gordon","GA",4.0,4.0
"161","13131","Grady","GA",4.0,4.0
"162","13133","Greene","GA",4.0,4.0
"163","13135","Gwinnett","GA",4.0,4.0
"164","13137","Habersham","GA",4.0,4.0
"165","13139","Hall","GA",4.0,4.0
"166","13141","Hancock","GA",4.0,4.0
"167","16079","Shoshone","ID",6.0,6.0
